dow	date	secchi_m	basin	month	year
48000200	7/24/1974	1.37	201	7	1974
48000200	7/31/1974	1.98	201	7	1974
48000200	8/7/1974	2.29	201	8	1974
48000200	8/14/1974	2.29	201	8	1974
48000200	8/21/1974	2.29	201	8	1974
48000200	8/28/1974	2.29	201	8	1974
48000200	9/4/1974	2.29	201	9	1974
48000200	9/11/1974	2.44	201	9	1974
48000200	9/18/1974	2.44	201	9	1974
48000200	9/25/1974	2.59	201	9	1974
48000200	10/2/1974	2.59	201	10	1974
48000200	6/17/1981	1.3	204	6	1981
48000200	6/17/1981	1.31	115	6	1981
48000200	6/17/1981	1.49	113	6	1981
48000200	6/17/1981	1.5	113	6	1981
48000200	6/17/1981	1.58	111	6	1981
48000200	6/17/1981	1.6	111	6	1981
48000200	6/17/1981	1.7	112	6	1981
48000200	6/17/1981	1.7	202	6	1981
48000200	6/17/1981	1.71	112	6	1981
48000200	6/17/1981	1.71	116	6	1981
48000200	6/17/1981	1.8	114	6	1981
48000200	6/18/1981	1.3	105	6	1981
48000200	6/18/1981	1.31	105	6	1981
48000200	6/18/1981	1.49	104	6	1981
48000200	6/18/1981	1.49	119	6	1981
48000200	6/18/1981	1.5	119	6	1981
48000200	6/18/1981	1.5	104	6	1981
48000200	6/18/1981	1.7	120	6	1981
48000200	6/18/1981	1.71	120	6	1981
48000200	6/18/1981	1.8	117	6	1981
48000200	6/18/1981	1.8	118	6	1981
48000200	6/22/1981	1.3	106	6	1981
48000200	6/22/1981	1.31	106	6	1981
48000200	6/22/1981	1.49	123	6	1981
48000200	6/22/1981	1.5	123	6	1981
48000200	6/22/1981	1.7	100	6	1981
48000200	6/22/1981	1.7	107	6	1981
48000200	6/22/1981	1.71	101	6	1981
48000200	6/22/1981	1.71	107	6	1981
48000200	6/22/1981	1.8	108	6	1981
48000200	6/22/1981	1.89	102	6	1981
48000200	6/22/1981	1.89	109	6	1981
48000200	6/22/1981	1.9	102	6	1981
48000200	6/22/1981	1.9	109	6	1981
48000200	6/22/1981	2	110	6	1981
48000200	6/22/1981	2.01	110	6	1981
48000200	6/22/1981	2.29	122	6	1981
48000200	6/22/1981	2.3	122	6	1981
48000200	8/12/1981	1.7	103	8	1981
48000200	8/12/1981	1.71	103	8	1981
48000200	8/19/1981	2.1	118	8	1981
48000200	8/19/1981	2.19	119	8	1981
48000200	8/19/1981	2.2	119	8	1981
48000200	8/19/1981	2.29	102	8	1981
48000200	8/19/1981	2.29	105	8	1981
48000200	8/19/1981	2.3	102	8	1981
48000200	8/19/1981	2.3	105	8	1981
48000200	8/19/1981	2.4	103	8	1981
48000200	8/19/1981	2.41	103	8	1981
48000200	8/19/1981	2.5	117	8	1981
48000200	8/19/1981	2.5	123	8	1981
48000200	8/19/1981	2.59	115	8	1981
48000200	8/19/1981	2.6	204	8	1981
48000200	8/19/1981	2.7	202	8	1981
48000200	8/19/1981	2.71	116	8	1981
48000200	8/19/1981	2.8	114	8	1981
48000200	10/7/1981	1.4	115	10	1981
48000200	10/7/1981	1.4	204	10	1981
48000200	10/7/1981	1.7	114	10	1981
48000200	10/7/1981	1.71	114	10	1981
48000200	10/7/1981	1.89	116	10	1981
48000200	10/7/1981	1.9	202	10	1981
48000200	10/7/1981	2	105	10	1981
48000200	10/7/1981	2	119	10	1981
48000200	10/7/1981	2	117	10	1981
48000200	10/7/1981	2	123	10	1981
48000200	10/7/1981	2.01	105	10	1981
48000200	10/7/1981	2.01	117	10	1981
48000200	10/7/1981	2.01	119	10	1981
48000200	10/7/1981	2.01	123	10	1981
48000200	10/7/1981	2.1	102	10	1981
48000200	10/7/1981	2.1	103	10	1981
48000200	10/7/1981	2.1	118	10	1981
48000200	6/15/1982	1.68	202	6	1982
48000200	7/4/1982	1.98	202	7	1982
48000200	7/4/1982	2.59	203	7	1982
48000200	7/4/1982	2.59	100	7	1982
48000200	7/28/1982	2.13	202	7	1982
48000200	9/18/1982	2.59	202	9	1982
48000200	6/7/1988	2.67	204	6	1988
48000200	6/7/1988	2.68	204	6	1988
48000200	6/14/1988	2.44	204	6	1988
48000200	6/21/1988	2.35	204	6	1988
48000200	6/21/1988	2.36	204	6	1988
48000200	6/28/1988	2.13	204	6	1988
48000200	7/4/1988	1.98	204	7	1988
48000200	7/12/1988	1.83	204	7	1988
48000200	7/18/1988	1.83	204	7	1988
48000200	7/22/1988	1.68	204	7	1988
48000200	6/21/1989	2.59	204	6	1989
48000200	6/28/1989	2.59	204	6	1989
48000200	7/6/1989	2.44	204	7	1989
48000200	7/12/1989	2.44	204	7	1989
48000200	7/20/1989	2.44	204	7	1989
48000200	7/25/1989	2.29	204	7	1989
48000200	8/3/1989	2.13	204	8	1989
48000200	8/10/1989	1.98	204	8	1989
48000200	8/15/1989	1.98	204	8	1989
48000200	8/24/1989	1.98	204	8	1989
48000200	8/29/1989	1.83	204	8	1989
48000200	9/6/1989	1.83	204	9	1989
48000200	6/14/1990	2.19	7362	6	1990
48000200	6/14/1990	2.2	100	6	1990
48000200	6/14/1990	2.4	100	6	1990
48000200	6/14/1990	2.41	7360	6	1990
48000200	6/14/1990	2.41	7361	6	1990
48000200	6/14/1990	2.41	7363	6	1990
48000200	6/29/1990	3.99	7360	6	1990
48000200	6/29/1990	3.99	7362	6	1990
48000200	6/29/1990	3.99	7363	6	1990
48000200	6/29/1990	4	100	6	1990
48000200	7/2/1990	2.13	204	7	1990
48000200	7/9/1990	2.13	204	7	1990
48000200	7/17/1990	1.98	204	7	1990
48000200	7/23/1990	1.98	204	7	1990
48000200	7/30/1990	2.5	7360	7	1990
48000200	7/30/1990	2.5	7361	7	1990
48000200	7/30/1990	2.5	7363	7	1990
48000200	7/30/1990	2.5	100	7	1990
48000200	7/30/1990	2.99	7362	7	1990
48000200	7/30/1990	2.99	7364	7	1990
48000200	7/30/1990	3	100	7	1990
48000200	8/1/1990	1.98	204	8	1990
48000200	8/7/1990	1.83	204	8	1990
48000200	8/15/1990	3.5	100	8	1990
48000200	8/15/1990	3.51	7360	8	1990
48000200	8/15/1990	3.51	7363	8	1990
48000200	8/15/1990	3.6	7362	8	1990
48000200	8/15/1990	3.6	7364	8	1990
48000200	8/15/1990	3.6	100	8	1990
48000200	8/15/1990	3.99	7361	8	1990
48000200	8/15/1990	4	100	8	1990
48000200	8/16/1990	1.83	204	8	1990
48000200	8/21/1990	1.83	204	8	1990
48000200	8/29/1990	1.68	204	8	1990
48000200	9/4/1990	1.52	204	9	1990
48000200	9/4/1990	2.1	7309	9	1990
48000200	9/4/1990	2.1	7361	9	1990
48000200	9/4/1990	2.1	100	9	1990
48000200	9/4/1990	2.19	7320	9	1990
48000200	9/4/1990	2.19	7366	9	1990
48000200	9/4/1990	2.2	100	9	1990
48000200	9/4/1990	2.4	100	9	1990
48000200	9/4/1990	2.41	7302	9	1990
48000200	9/4/1990	2.41	7362	9	1990
48000200	9/10/1990	1.52	204	9	1990
48000200	9/18/1990	2.4	100	9	1990
48000200	9/18/1990	2.41	7309	9	1990
48000200	9/18/1990	2.8	7318	9	1990
48000200	9/18/1990	2.8	7319	9	1990
48000200	9/18/1990	2.8	7364	9	1990
48000200	9/18/1990	2.8	7365	9	1990
48000200	9/18/1990	2.8	100	9	1990
48000200	9/18/1990	3.1	100	9	1990
48000200	9/18/1990	3.11	7318	9	1990
48000200	1/18/1991	4.6	7360	1	1991
48000200	1/18/1991	4.6	7361	1	1991
48000200	1/18/1991	4.6	7362	1	1991
48000200	1/18/1991	4.6	100	1	1991
48000200	1/22/1991	3.6	7363	1	1991
48000200	1/22/1991	3.6	100	1	1991
48000200	1/22/1991	4.3	7364	1	1991
48000200	1/22/1991	4.3	100	1	1991
48000200	4/2/1991	4.9	100	4	1991
48000200	4/2/1991	4.91	7363	4	1991
48000200	4/2/1991	7	100	4	1991
48000200	4/2/1991	7.01	7364	4	1991
48000200	4/2/1991	7.01	7367	4	1991
48000200	5/28/1991	2.44	7238	5	1991
48000200	5/28/1991	2.44	100	5	1991
48000200	5/28/1991	3.96	7252	5	1991
48000200	5/28/1991	3.96	100	5	1991
48000200	5/28/1991	4.27	7253	5	1991
48000200	5/28/1991	4.27	100	5	1991
48000200	5/29/1991	2.5	7201	5	1991
48000200	5/29/1991	2.5	100	5	1991
48000200	5/29/1991	3.29	7224	5	1991
48000200	5/29/1991	3.3	100	5	1991
48000200	5/29/1991	3.5	100	5	1991
48000200	5/29/1991	3.51	7232	5	1991
48000200	5/29/1991	3.96	7205	5	1991
48000200	5/29/1991	3.96	100	5	1991
48000200	5/31/1991	3.66	7206	5	1991
48000200	5/31/1991	3.66	100	5	1991
48000200	6/10/1991	2.4	100	6	1991
48000200	6/10/1991	2.41	7206	6	1991
48000200	6/10/1991	2.44	7238	6	1991
