Date	Source	Source.gear	depth.ft	temp.f
9/5/2006	FISHERIES_ELECTROFISHING	EF	0	72
9/6/2006	FISHERIES_ELECTROFISHING	EF	0	72
9/12/2006	FISHERIES_ELECTROFISHING	EF	0	62
9/13/2006	FISHERIES_ELECTROFISHING	EF	0	66
5/16/2007	FISHERIES_DEPTH_OXY	WQ	0	51.08
5/16/2007	FISHERIES_DEPTH_OXY	WQ	0	51.8
5/16/2007	FISHERIES_DEPTH_OXY	WQ	0	53.6
9/5/2007	FISHERIES_ELECTROFISHING	EF	0	71
9/7/2007	FISHERIES_ELECTROFISHING	EF	0	69.6
9/7/2007	FISHERIES_ELECTROFISHING	EF	0	70.5
9/7/2007	FISHERIES_ELECTROFISHING	EF	0	71
9/10/2007	FISHERIES_ELECTROFISHING	EF	0	65.8
9/11/2007	FISHERIES_ELECTROFISHING	EF	0	52
9/11/2007	FISHERIES_ELECTROFISHING	EF	0	60.3
9/11/2007	FISHERIES_ELECTROFISHING	EF	0	61.5
6/18/2008	FISHERIES_DEPTH_OXY	WQ	0	62.06
6/18/2008	FISHERIES_DEPTH_OXY	WQ	0	62.96
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	68
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	69.08
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	69.98
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	71.06
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	71.96
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	72.86
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	75.92
7/15/2008	FISHERIES_DEPTH_OXY	WQ	0	78.98
8/13/2008	FISHERIES_DEPTH_OXY	WQ	0	71.96
8/13/2008	FISHERIES_DEPTH_OXY	WQ	0	72.32
8/13/2008	FISHERIES_DEPTH_OXY	WQ	0	73.58
8/13/2008	FISHERIES_DEPTH_OXY	WQ	0	73.76
9/2/2008	FISHERIES_ELECTROFISHING	EF	0	63
9/3/2008	FISHERIES_ELECTROFISHING	EF	0	63
9/3/2008	FISHERIES_ELECTROFISHING	EF	0	64
9/3/2008	FISHERIES_ELECTROFISHING	EF	0	65
9/8/2008	FISHERIES_ELECTROFISHING	EF	0	63
9/8/2008	FISHERIES_ELECTROFISHING	EF	0	64
9/9/2008	FISHERIES_ELECTROFISHING	EF	0	61
9/9/2008	FISHERIES_ELECTROFISHING	EF	0	63
8/18/2009	FISHERIES_DEPTH_OXY	WQ	0	67.46
8/31/2009	FISHERIES_ELECTROFISHING	EF	0	65
8/31/2009	FISHERIES_ELECTROFISHING	EF	0	67.5
9/1/2009	FISHERIES_ELECTROFISHING	EF	0	67
9/8/2009	FISHERIES_ELECTROFISHING	EF	0	67
9/8/2009	FISHERIES_ELECTROFISHING	EF	0	68
9/9/2009	FISHERIES_ELECTROFISHING	EF	0	70
9/10/2009	FISHERIES_ELECTROFISHING	EF	0	68
5/12/2010	FISHERIES_DEPTH_OXY	WQ	0	48.92
5/12/2010	FISHERIES_DEPTH_OXY	WQ	0	49.1
5/12/2010	FISHERIES_DEPTH_OXY	WQ	0	49.28
5/12/2010	FISHERIES_DEPTH_OXY	WQ	0	49.46
8/16/2010	FISHERIES_DEPTH_OXY	WQ	0	71.78
8/16/2010	FISHERIES_DEPTH_OXY	WQ	0	72.68
8/16/2010	FISHERIES_DEPTH_OXY	WQ	2	72.86
8/16/2010	FISHERIES_DEPTH_OXY	WQ	4	72.5
8/16/2010	FISHERIES_DEPTH_OXY	WQ	4	73.04
8/16/2010	FISHERIES_DEPTH_OXY	WQ	20	73.04
8/16/2010	FISHERIES_DEPTH_OXY	WQ	30	72.86
8/16/2010	FISHERIES_DEPTH_OXY	WQ	30	73.04
8/31/2010	FISHERIES_ELECTROFISHING	EF	0	71
8/31/2010	FISHERIES_ELECTROFISHING	EF	0	72
9/1/2010	FISHERIES_ELECTROFISHING	EF	0	73
9/7/2010	FISHERIES_ELECTROFISHING	EF	0	61
9/7/2010	FISHERIES_ELECTROFISHING	EF	0	64
9/8/2010	FISHERIES_ELECTROFISHING	EF	0	63
8/31/2011	FISHERIES_ELECTROFISHING	EF	0	72
8/31/2011	FISHERIES_ELECTROFISHING	SEF	0	72
9/2/2011	FISHERIES_ELECTROFISHING	EF	0	72
9/7/2011	FISHERIES_ELECTROFISHING	EF	0	69
9/7/2011	FISHERIES_ELECTROFISHING	SEF	0	69
9/8/2011	FISHERIES_ELECTROFISHING	EF	0	70
9/8/2011	FISHERIES_ELECTROFISHING	EF	0	70.5
5/2/2012	FISHERIES_DEPTH_OXY	WQ	0	46.04
5/2/2012	FISHERIES_DEPTH_OXY	WQ	0	46.22
5/2/2012	FISHERIES_DEPTH_OXY	WQ	0	46.58
5/2/2012	FISHERIES_DEPTH_OXY	WQ	0	46.76
5/2/2012	FISHERIES_DEPTH_OXY	WQ	0	46.94
5/2/2012	FISHERIES_DEPTH_OXY	WQ	0	47.48
5/2/2012	FISHERIES_DEPTH_OXY	WQ	0	49.46
5/14/2012	FISHERIES_DEPTH_OXY	WQ	0	53.24
5/14/2012	FISHERIES_DEPTH_OXY	WQ	0	53.42
5/14/2012	FISHERIES_DEPTH_OXY	WQ	0	54.14
5/14/2012	FISHERIES_DEPTH_OXY	WQ	0	54.68
5/14/2012	FISHERIES_DEPTH_OXY	WQ	0	55.4
5/14/2012	FISHERIES_DEPTH_OXY	WQ	0	56.48
5/14/2012	FISHERIES_DEPTH_OXY	WQ	0	56.84
5/21/2012	FISHERIES_ELECTROFISHING	SEF	0	58
5/21/2012	FISHERIES_ELECTROFISHING	SEF	0	59
5/21/2012	FISHERIES_ELECTROFISHING	SEF	0	60
5/21/2012	FISHERIES_ELECTROFISHING	SEF	0	65
5/30/2012	FISHERIES_DEPTH_OXY	WQ	0	56.66
5/30/2012	FISHERIES_DEPTH_OXY	WQ	0	56.84
5/30/2012	FISHERIES_DEPTH_OXY	WQ	0	57.02
5/30/2012	FISHERIES_DEPTH_OXY	WQ	0	57.38
5/31/2012	FISHERIES_ELECTROFISHING	SEF	0	59
5/31/2012	FISHERIES_ELECTROFISHING	SEF	0	61
5/31/2012	FISHERIES_ELECTROFISHING	SEF	0	62
5/31/2012	FISHERIES_ELECTROFISHING	SEF	0	63
6/1/2012	FISHERIES_ELECTROFISHING	SEF	0	63
6/1/2012	FISHERIES_ELECTROFISHING	SEF	0	64
6/4/2012	FISHERIES_ELECTROFISHING	SEF	0	68
6/4/2012	FISHERIES_ELECTROFISHING	SEF	0	70
6/5/2012	FISHERIES_ELECTROFISHING	SEF	0	65
6/5/2012	FISHERIES_ELECTROFISHING	SEF	0	68
6/5/2012	FISHERIES_ELECTROFISHING	SEF	0	71
6/5/2012	FISHERIES_ELECTROFISHING	SEF	0	75
6/6/2012	FISHERIES_ELECTROFISHING	SEF	0	63
6/6/2012	FISHERIES_ELECTROFISHING	SEF	0	64
6/13/2012	FISHERIES_ELECTROFISHING	SEF	0	63
6/15/2012	FISHERIES_ELECTROFISHING	SEF	0	58
6/15/2012	FISHERIES_ELECTROFISHING	SEF	0	60
6/15/2012	FISHERIES_ELECTROFISHING	SEF	0	63
6/21/2012	FISHERIES_DEPTH_OXY	WQ	0	62.78
6/21/2012	FISHERIES_DEPTH_OXY	WQ	0	63.5
6/21/2012	FISHERIES_DEPTH_OXY	WQ	0	63.68
6/21/2012	FISHERIES_DEPTH_OXY	WQ	0	63.86
6/21/2012	FISHERIES_DEPTH_OXY	WQ	0	64.04
6/21/2012	FISHERIES_DEPTH_OXY	WQ	0	64.58
7/3/2012	FISHERIES_DEPTH_OXY	WQ	0	70.34
7/3/2012	FISHERIES_DEPTH_OXY	WQ	0	71.06
7/3/2012	FISHERIES_DEPTH_OXY	WQ	0	71.24
7/3/2012	FISHERIES_DEPTH_OXY	WQ	0	71.96
7/3/2012	FISHERIES_DEPTH_OXY	WQ	0	73.4
7/3/2012	FISHERIES_DEPTH_OXY	WQ	0	73.94
7/3/2012	FISHERIES_DEPTH_OXY	WQ	0	74.84
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	73.22
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	75.02
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	75.56
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	75.74
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	76.1
7/19/2012	FISHERIES_DEPTH_OXY	WQ	0	77
7/19/2012	FISHERIES_DEPTH_OXY	WQ	3	75.38
7/19/2012	FISHERIES_DEPTH_OXY	WQ	5	75.02
7/19/2012	FISHERIES_DEPTH_OXY	WQ	5	75.38
7/19/2012	FISHERIES_DEPTH_OXY	WQ	6	75.38
7/19/2012	FISHERIES_DEPTH_OXY	WQ	9	75.2
7/19/2012	FISHERIES_DEPTH_OXY	WQ	10	74.66
7/19/2012	FISHERIES_DEPTH_OXY	WQ	10	75.02
