elevation	date	DATUM_ADJ
1248.84	6/11/1931	NGVD 29
1248.9	6/12/1931	NGVD 29
1248.96	6/13/1931	NGVD 29
1248.97	6/14/1931	NGVD 29
1248.98	6/15/1931	NGVD 29
1249	6/16/1931	NGVD 29
1248.99	6/17/1931	NGVD 29
1248.98	6/18/1931	NGVD 29
1248.96	6/19/1931	NGVD 29
1249.26	6/20/1931	NGVD 29
1249.23	6/21/1931	NGVD 29
1249.2	6/22/1931	NGVD 29
1249.17	6/23/1931	NGVD 29
1249.14	6/24/1931	NGVD 29
1249.16	6/25/1931	NGVD 29
1249.18	6/26/1931	NGVD 29
1249.18	6/27/1931	NGVD 29
1249.18	6/28/1931	NGVD 29
1249.18	6/29/1931	NGVD 29
1249.18	6/30/1931	NGVD 29
1249.18	7/1/1931	NGVD 29
1249.14	7/2/1931	NGVD 29
1249.12	7/3/1931	NGVD 29
1249.14	7/4/1931	NGVD 29
1249.12	7/5/1931	NGVD 29
1249.16	7/6/1931	NGVD 29
1249.09	7/7/1931	NGVD 29
1249.02	7/8/1931	NGVD 29
1249.04	7/9/1931	NGVD 29
1249.02	7/10/1931	NGVD 29
1249	7/11/1931	NGVD 29
1248.98	7/12/1931	NGVD 29
1248.96	7/13/1931	NGVD 29
1248.94	7/14/1931	NGVD 29
1248.98	7/15/1931	NGVD 29
1248.98	7/16/1931	NGVD 29
1248.96	7/17/1931	NGVD 29
1248.96	7/18/1931	NGVD 29
1248.96	7/19/1931	NGVD 29
1248.96	7/20/1931	NGVD 29
1248.94	7/21/1931	NGVD 29
1248.92	7/22/1931	NGVD 29
1248.9	7/23/1931	NGVD 29
1248.9	7/24/1931	NGVD 29
1248.88	7/25/1931	NGVD 29
1248.86	7/26/1931	NGVD 29
1248.84	7/27/1931	NGVD 29
1248.8	7/28/1931	NGVD 29
1248.78	7/29/1931	NGVD 29
1248.76	7/30/1931	NGVD 29
1248.8	7/31/1931	NGVD 29
1248.82	8/1/1931	NGVD 29
1248.84	8/2/1931	NGVD 29
1248.88	8/3/1931	NGVD 29
1248.9	8/4/1931	NGVD 29
1248.9	8/5/1931	NGVD 29
1248.88	8/6/1931	NGVD 29
1248.86	8/7/1931	NGVD 29
1248.85	8/8/1931	NGVD 29
1248.84	8/9/1931	NGVD 29
1248.74	8/10/1931	NGVD 29
1248.78	8/11/1931	NGVD 29
1248.76	8/12/1931	NGVD 29
1248.76	8/13/1931	NGVD 29
1248.78	8/14/1931	NGVD 29
1248.74	8/15/1931	NGVD 29
1248.72	8/16/1931	NGVD 29
1248.73	8/17/1931	NGVD 29
1248.74	8/18/1931	NGVD 29
1248.76	8/19/1931	NGVD 29
1248.72	8/20/1931	NGVD 29
1248.7	8/21/1931	NGVD 29
1248.7	8/22/1931	NGVD 29
1248.72	8/23/1931	NGVD 29
1248.7	8/24/1931	NGVD 29
1248.72	8/25/1931	NGVD 29
1248.7	8/26/1931	NGVD 29
1248.67	8/27/1931	NGVD 29
1248.64	8/28/1931	NGVD 29
1248.44	8/29/1931	NGVD 29
1248.5	8/30/1931	NGVD 29
1248.48	8/31/1931	NGVD 29
1248.48	9/1/1931	NGVD 29
1248.48	9/2/1931	NGVD 29
1248.46	9/3/1931	NGVD 29
1248.46	9/4/1931	NGVD 29
1248.46	9/5/1931	NGVD 29
1248.48	9/6/1931	NGVD 29
1248.46	9/7/1931	NGVD 29
1248.44	9/8/1931	NGVD 29
1248.44	9/9/1931	NGVD 29
1248.42	9/10/1931	NGVD 29
1248.44	9/11/1931	NGVD 29
1248.44	9/12/1931	NGVD 29
1248.46	9/13/1931	NGVD 29
1248.44	9/14/1931	NGVD 29
1248.42	9/15/1931	NGVD 29
1248.44	9/16/1931	NGVD 29
1248.4	9/17/1931	NGVD 29
1248.38	9/18/1931	NGVD 29
1248.4	9/19/1931	NGVD 29
1248.4	9/20/1931	NGVD 29
1248.42	9/21/1931	NGVD 29
1248.4	9/22/1931	NGVD 29
1248.38	9/23/1931	NGVD 29
