"depths","areas"
0,114045117.471136
0.3048,102909419.130559
0.6096,100341451.751457
0.9144,98304390.7242246
1.2192,96460977.7951383
1.524,94545520.3119643
1.8288,91321892.0329947
2.1336,87391455.7582007
2.4384,85427296.3581276
2.7432,83989682.3204704
3.048,82026632.0737842
3.3528,79084375.8426549
3.6576,76171587.800374
3.9624,73768909.4839571
4.2672,71835730.7546236
4.572,69623599.9484759
4.8768,66595737.2423004
5.1816,62399986.4357452
5.4864,58438745.9464322
5.7912,54671077.9311709
6.096,49082684.2151924
6.4008,41913494.8425161
6.7056,35005864.0049043
7.0104,29547795.8118908
7.3152,27273275.127728
7.62,25821922.7128917
7.9248,24504878.6900007
8.2296,23217680.9764309
8.5344,22008275.2481357
8.8392,20574946.5758371
9.144,17452856.2478352
9.4488,13402202.8707163
9.7536,10164382.4700003
10.0584,7630723.22179898
10.3632,6075664.96528431
10.668,5219524.59072794
10.9728,4564872.01212095
11.2776,4001170.01124266
11.5824,3461692.92865629
11.8872,2880244.47358703
12.192,2102601.90918785
12.4968,1082155.58517594
12.8016,548652.806060106
13.1064,333098.928521858
13.4112,301261.184710514
13.716,274540.671297984
14.0208,250038.464659324
14.3256,227552.900542365
14.6304,206403.362096033
14.9352,184119.462231244
15.24,158306.437953479
15.5448,115906.528934729
15.8496,66322.3309324209
16.1544,52735.2019424646
16.4592,47365.8912284374
16.764,42601.5732709203
17.0688,38316.207912307
17.3736,34434.1710580338
17.6784,30905.0466450581
17.9832,27703.6266418588
18.288,24678.6628593083
18.5928,22258.6918332678
18.8976,19611.8485235361
19.2024,17292.7096235807
19.5072,15528.1474170928
19.812,13612.3370214775
20.1168,11746.9426889046
20.4216,10234.4607976294
20.7264,8621.14678026907
21.0312,7033.04079443004
21.336,5318.89465098472
21.6408,3100.58787711432
21.9456,1487.27385975402
22.2504,705.824882595129
22.5552,252.080315212546
