depths,areas
0,664607600
0.1,650030800
0.2,649889200
0.3,649770400
0.4,649264800
0.5,649202000
0.6,649143200
0.7,648974800
0.8,648824400
0.9,648606800
1,648382000
1.1,647921600
1.2,647490000
1.3,646811600
1.4,645070000
1.5,643818000
1.6,642093600
1.7,640005200
1.8,637685200
1.9,635415200
2,632779600
2.1,630176800
2.2,627617600
2.3,625386800
2.4,623229600
2.5,621034000
2.6,619030400
2.7,617105600
2.8,615399600
2.9,613888800
3,612649600
3.1,611156400
3.2,609360000
3.3,607231600
3.4,605214400
3.5,603028000
3.6,600718400
3.7,598421200
3.8,596198000
3.9,593900400
4,591453600
4.1,589066800
4.2,586781200
4.3,584256400
4.4,581347600
4.5,578411600
4.6,574762800
4.7,570645600
4.8,566717600
4.9,562626000
5,558485200
5.1,554201600
5.2,550652000
5.3,546896400
5.4,542753600
5.5,538384800
5.6,533388400
5.7,528164800
5.8,521879200
5.9,514430000
6,505357600
6.1,495824400
6.2,487864000
6.3,481303600
6.4,474257200
6.5,466416400
6.6,457199600
6.7,447266800
6.8,435371200
6.9,424566000
7,412732400
7.1,402110000
7.2,389682000
7.3,375932400
7.4,362060000
7.5,346540000
7.6,327898800
7.7,309340800
7.8,286639200
7.9,259178400
8,236360000
8.1,209486400
8.2,181702000
8.3,160637200
8.4,137668400
8.5,116130800
8.6,90994000
8.7,71730000
8.8,54030000
8.9,35980800
9,17823200
9.1,6236000
9.2,816400
9.3,35600
