depths,areas
0,482769034.597752
0.1,481571775.743985
0.2,481273966.806072
0.3,480927303.817669
0.4,480533125.245915
0.5,480128908.170635
0.6,479708629.489715
0.7,479266935.334608
0.8,478828587.347342
0.9,478452478.081933
1,478018814.729646
1.1,477682190.244769
1.2,477312104.081475
1.3,476915248.575447
1.4,476551854.747836
1.5,476180430.117405
1.6,475827744.026888
1.7,475446280.892932
1.8,475113671.809465
1.9,474787085.828113
2,474437745.905437
2.1,474104467.588402
2.2,473751781.497885
2.3,473464680.297065
2.4,473082547.92954
2.5,472749938.846073
2.6,472437406.769657
2.7,472082712.978434
2.8,471754788.529946
2.9,471426194.847889
3,471094254.99799
3.1,470757630.513113
3.2,470419667.5611
3.3,470044896.762827
3.4,469696226.07372
3.5,469284647.429188
3.6,468902515.061664
3.7,468536444.299779
3.8,468158996.567233
3.9,467772179.56473
4,467384024.095091
4.1,466976460.851969
4.2,466585628.448057
4.3,466226250.021856
4.4,465822702.180144
4.5,465457300.651828
4.6,465049068.175139
4.7,464570566.173773
4.8,464072656.398925
4.9,463578092.791918
5,463044713.637948
5.1,462486572.841949
5.2,461981970.731418
5.3,461488076.35798
5.4,461008235.889477
5.5,460508318.413924
5.6,460024462.544011
5.7,459516514.265638
5.8,458940973.396863
5.9,458336655.484648
6,457706237.463268
6.1,457012242.252895
6.2,456296831.568335
6.3,455591459.387301
6.4,454929587.388208
6.5,454259015.352728
6.6,453559666.273808
6.7,452867009.530572
6.8,452126837.203983
6.9,451419457.322244
7,450692669.667022
7.1,449904312.523513
7.2,449105916.876478
7.3,448319567.433674
7.4,447537902.625848
7.5,446710060.701807
7.6,445865487.938557
7.7,444979422.694069
7.8,444007026.319265
7.9,443013214.470274
8,441958502.366564
8.1,440965359.751141
8.2,439928716.953777
8.3,438809758.427505
8.4,437619861.14299
8.5,436516294.98879
8.6,435309666.865066
8.7,434111069.544162
8.8,432926526.128193
8.9,431667028.552569
9,430431623.385406
9.1,429085794.679466
9.2,427758704.51344
9.3,426447006.719486
9.4,425063031.70015
9.5,423675041.279405
9.6,422366689.653292
9.7,421060345.727885
9.8,419790809.648736
9.9,418497850.394695
10,417216268.111316
10.1,415996924.549794
10.2,414798327.228889
10.3,413593037.572302
10.4,412343578.500203
10.5,411159704.317803
10.6,409876114.333719
10.7,408661455.407175
10.8,407403965.532256
10.9,406204698.977784
11,405012124.758995
11.1,403794788.898177
11.2,402550683.694625
11.3,401274455.279793
11.4,400018303.872011
11.5,398725344.617971
11.6,397414985.291153
11.7,396077856.621602
11.8,394723327.879273
11.9,393291168.043017
12,391744569.266574
12.1,390126362.498318
12.2,388427847.701861
12.3,386787556.22585
12.4,385159980.187637
12.5,383572558.163525
12.6,381988482.307254
12.7,380247136.562423
12.8,378481698.409132
12.9,376702875.584473
13,374833036.99452
13.1,372866159.537157
13.2,370744689.125506
13.3,368514133.642215
13.4,366246101.079098
13.5,364024914.865764
13.6,361667874.238056
13.7,358979562.994018
13.8,356429783.098627
13.9,353642425.286474
14,350799521.088149
14.1,347928509.079953
14.2,345148512.837052
14.3,342043269.079935
14.4,338579316.130186
14.5,334942031.686237
14.6,331067838.559093
14.7,326707112.627763
14.8,321406782.766478
14.9,315684835.757137
15,310405252.136471
15.1,305602832.050034
15.2,300560157.112561
15.3,295552282.320643
15.4,290479491.872595
15.5,285079446.209627
15.6,279709516.057234
15.7,274259277.87664
15.8,268329199.227544
15.9,261102145.922997
16,252211377.967546
16.1,242360929.07509
16.2,229842915.179215
16.3,215946280.132551
16.4,199964982.520495
16.5,181108657.498833
16.6,162633795.611128
16.7,143255468.406157
16.8,119098144.289643
16.9,96967928.6516417
17,80158119.8819761
17.1,66529178.2626496
17.2,54175126.5910186
17.3,42853702.3153424
17.4,33067499.8454475
17.5,24623779.9136507
17.6,18788732.431259
17.7,13424825.3809815
17.8,8766959.74530696
17.9,5604831.13488136
18,3034304.99887189
18.1,1157774.07323519
18.2,384809.301797825
18.3,13384.6713668809
18.4,8700.03638847256
18.5,8030.80282012851
18.6,7361.56925178447
18.7,4684.6349784083
18.8,4684.6349784083
18.9,2676.93427337617
19,1338.46713668809
19.1,669.233568344043
