"opti_hab","therm_hab","opti_therm_hab","DateTime"
1646421606.30534,0,0,1980-04-02
1657856847.57983,0,0,1980-04-03
1134333057.50362,0,0,1980-04-04
1121258577.38355,0,0,1980-04-05
1060021725.02518,0,0,1980-04-06
1141223739.72458,0,0,1980-04-07
1181905460.35891,0,0,1980-04-08
1412690570.19477,0,0,1980-04-09
2056773031.87892,0,0,1980-04-10
1864552457.80445,0,0,1980-04-11
1369330757.24256,0,0,1980-04-12
1167885044.43683,0,0,1980-04-13
1345602676.3369,0,0,1980-04-14
1274298543.20785,0,0,1980-04-15
1069303480.02688,0,0,1980-04-16
1176034408.88471,0,0,1980-04-17
1186828487.62577,0,0,1980-04-18
1092947018.09041,0,0,1980-04-19
1106964154.27161,0,0,1980-04-20
1111442107.56076,0,0,1980-04-21
1098882491.55298,0,0,1980-04-22
1103271661.93978,0,0,1980-04-23
1110641468.90687,0,0,1980-04-24
1118308865.91456,0,0,1980-04-25
1457109897.23547,0,0,1980-04-26
1872236178.79837,0,0,1980-04-27
1267400150.89574,0,0,1980-04-28
1110864749.13994,0,0,1980-04-29
1140387268.77735,0,0,1980-04-30
1187724140.94336,0,0,1980-05-01
1179828842.39073,0,0,1980-05-02
1147932941.54488,838978431.07213,2200292.74630717,1980-05-03
1153264503.14433,2588268257.13392,13789481.4108683,1980-05-04
1164056759.34015,10310147712.6728,177296988.86964,1980-05-05
1176868795.25176,30792953304.2631,1176868795.25176,1980-05-06
1227523369.24098,30792953304.2631,1227523369.24098,1980-05-07
1632443556.14681,30792953304.2631,1632443556.14681,1980-05-08
2130861606.11234,0,0,1980-05-09
1547728140.12333,0,0,1980-05-10
1713613994.18069,0,0,1980-05-11
1677139379.40356,0,0,1980-05-12
1280110315.73713,0,0,1980-05-13
1520779372.23671,0,0,1980-05-14
2054561569.976,0,0,1980-05-15
1490328964.19567,1273271868.93241,6239378.8149837,1980-05-16
1293788827.66014,30792953304.2631,1293788827.66014,1980-05-17
1733113448.75716,30792953304.2631,1733113448.75716,1980-05-18
1645942954.70256,30792953304.2631,1645942954.70256,1980-05-19
1274961535.2045,30792953304.2631,1274961535.2045,1980-05-20
1262947426.4046,30792953304.2631,1262947426.4046,1980-05-21
1263078124.12534,30792953304.2631,1263078124.12534,1980-05-22
1284249544.78045,30792953304.2631,1284249544.78045,1980-05-23
1290253274.75897,30792953304.2631,1290253274.75897,1980-05-24
1302922115.91869,30792953304.2631,1302922115.91869,1980-05-25
1342315699.86212,30792953304.2631,1342315699.86212,1980-05-26
1373070066.86775,30792953304.2631,1373070066.86775,1980-05-27
1357515574.48252,30792953304.2631,1357515574.48252,1980-05-28
1369304680.0567,30792953304.2631,1369304680.0567,1980-05-29
1467292471.34084,30792953304.2631,1467292471.34084,1980-05-30
1715589863.39645,30792953304.2631,1715589863.39645,1980-05-31
1648032931.50479,30792953304.2631,1648032931.50479,1980-06-01
1713827081.04365,30792953304.2631,1713827081.04365,1980-06-02
1780277235.3502,30792953304.2631,1780277235.3502,1980-06-03
1517607733.57942,30792953304.2631,1517607733.57942,1980-06-04
1666419611.18781,30792953304.2631,1666419611.18781,1980-06-05
1777281273.60681,30792953304.2631,1777281273.60681,1980-06-06
1793486802.42406,30792953304.2631,1793486802.42406,1980-06-07
2239554432.61608,30792953304.2631,2239554432.61608,1980-06-08
2043729075.68067,30792953304.2631,2043729075.68067,1980-06-09
1805600661.6743,30792953304.2631,1805600661.6743,1980-06-10
1659710735.07689,30792953304.2631,1659710735.07689,1980-06-11
1532906863.09693,30792953304.2631,1532906863.09693,1980-06-12
1765189241.29867,30792953304.2631,1765189241.29867,1980-06-13
2121430553.35201,30792953304.2631,2121430553.35201,1980-06-14
1889842651.8643,30792953304.2631,1889842651.8643,1980-06-15
1718507219.06141,30792953304.2631,1718507219.06141,1980-06-16
1697198309.61184,30792953304.2631,1697198309.61184,1980-06-17
1787007198.26861,30792953304.2631,1787007198.26861,1980-06-18
2326994885.02563,30792953304.2631,2326994885.02563,1980-06-19
2211068999.06808,30792953304.2631,2211068999.06808,1980-06-20
1929289005.64505,30792953304.2631,1929289005.64505,1980-06-21
1881424301.37449,30792953304.2631,1881424301.37449,1980-06-22
1746301879.08157,30792953304.2631,1746301879.08157,1980-06-23
1764423945.7766,30792953304.2631,1764423945.7766,1980-06-24
1791430406.85753,30792953304.2631,1791430406.85753,1980-06-25
