"opti_hab","therm_hab","opti_therm_hab","year"
10441574263.1164,43335908280.6431,3098865627.08985,2016
12081794013.2108,52523710228.535,2021032533.22386,2015
14765929861.0142,50891551080.7777,4509251098.86235,2014
8538588245.06937,44389709517.9901,1227918740.83162,2013
15832775128.7505,39956441600.3695,1861027684.06894,2012
13560498278.7064,47357898157.3743,2226891938.11356,2011
18143218229.6381,53433368336.4738,5638107451.00864,2010
21200065488.4346,55244746028.5774,4626652960.55612,2009
9925945546.02132,57208164558.3751,2226999340.00961,2008
20375017343.6373,61624408651.8807,3793669517.57194,2007
18740827100.1703,52275173415.0017,3645907009.52401,2006
19600938000.5901,56252182960.5844,5648976672.76693,2005
14816100723.6967,64204675972.2705,3607777289.04819,2004
13864483986.0756,67332425174.8708,3486950494.12005,2003
19955023590.5173,45064785784.0369,4951984514.01849,2002
11493401405.1988,56973564935.6575,2642019559.28336,2001
21686129970.3476,64282093327.7821,5762085212.64012,2000
28518524333.8376,60234933893.1375,7410969668.44432,1999
11835474560.5211,64742389677.3698,2816263605.96166,1998
6299605044.88266,58936240384.9048,1678609414.32538,1997
12785140254.7787,59797685207.4894,2921860920.501,1996
19903149775.9079,62259606579.9679,4406490992.17285,1995
21741503108.7939,64939789023.1806,7853433305.51476,1994
34002522490.48,61419839517.0048,10228463544.8927,1993
23047652891.5324,63030021773.6494,7978414772.14006,1992
25859514840.2064,60152153049.0398,8314978697.8339,1991
31859202936.6203,67984544379.8943,9282682697.2146,1990
27002029536.3542,63881137011.758,10357862420.0651,1989
31554449292.3688,66338706146.3304,12905003231.9117,1988
22311918366.965,74269720031.392,9345303834.46769,1987
21491959378.0326,76467210964.2768,9180033764.90534,1986
21650058528.1293,82836728405.7387,10053341206.8727,1985
21583018868.4517,80591176469.8855,9610816561.9781,1984
21829221154.5735,59537139175.4115,7650449645.73572,1983
23234475629.0303,78799367624.1948,10815114557.7713,1982
22100510015.5417,84121339937.341,11252741700.2041,1981
18487998299.6587,82327762186.376,11001408639.0828,1980
