"opti_hab","therm_hab","opti_therm_hab","DateTime"
98487220.712339,377994803.46823,48780369.1791523,2016-09-30
94142044.1422683,377994803.46823,45361674.9631159,2016-09-29
91689654.7686807,377994803.46823,46327979.8055648,2016-09-28
100074877.948086,377994803.46823,54514725.9711429,2016-09-27
109029451.942286,377994803.46823,54514725.9711429,2016-09-26
102193157.515797,377994803.46823,47678431.5446536,2016-09-25
93675849.0569957,377994803.46823,46765245.3409643,2016-09-24
102494755.913539,377994803.46823,55729510.5725747,2016-09-23
102305970.137122,377994803.46823,46576459.5645477,2016-09-22
96755513.6116363,377994803.46823,50179054.0470886,2016-09-21
116042406.63166,377994803.46823,63857827.3553027,2016-09-20
127665219.098832,377994803.46823,63807391.7435296,2016-09-19
125801250.916382,377994803.46823,61993859.1728529,2016-09-18
122142578.066108,377994803.46823,57092614.6030866,2016-09-17
119632615.65864,377994803.46823,62540001.0555536,2016-09-16
137974853.995169,377994803.46823,71656477.4369786,2016-09-15
141089797.030182,377994803.46823,70155590.805671,2016-09-14
141464733.980794,377994803.46823,71956347.1673901,2016-09-13
145589031.019416,377994803.46823,72130368.151153,2016-09-12
149893436.352357,377994803.46823,71719423.4879174,2016-09-11
142664776.858083,377994803.46823,72435452.4112559,2016-09-10
146431885.744438,377994803.46823,72753861.6136895,2016-09-09
152238901.264172,377994803.46823,72518413.9193651,2016-09-08
151677097.321287,377994803.46823,76154052.0001765,2016-09-07
161591628.838141,377994803.46823,76423682.6327284,2016-09-06
167281828.15513,377994803.46823,77613410.2601915,2016-09-05
168988401.710551,377994803.46823,78871788.0367063,2016-09-04
171907537.821893,377994803.46823,79461161.7348266,2016-09-03
181684780.230231,377994803.46823,79828757.1906541,2016-09-02
183642074.420091,377994803.46823,80283735.6796415,2016-09-01
186847949.47874,377994803.46823,80283735.6796415,2016-08-31
179651615.135265,377994803.46823,80091510.1763619,2016-08-30
179063727.328303,377994803.46823,78973576.6602124,2016-08-29
184001433.659848,377994803.46823,81334984.0126061,2016-08-28
201615757.690427,377994803.46823,81494393.5788431,2016-08-27
212825674.642187,377994803.46823,80943692.8649187,2016-08-26
216992448.338643,377994803.46823,81526316.7753854,2016-08-25
219682967.009355,377994803.46823,78872324.0250494,2016-08-24
224865067.689273,377994803.46823,78037416.6809607,2016-08-23
230217150.523213,377994803.46823,84552156.2455271,2016-08-22
218470185.881048,244153509.311251,79955463.9825345,2016-08-21
222676219.448574,0,0,2016-08-20
244101662.15212,0,0,2016-08-19
251023901.17171,0,0,2016-08-18
249776322.131979,0,0,2016-08-17
250961141.855175,0,0,2016-08-16
259529009.686209,0,0,2016-08-15
260811171.626996,0,0,2016-08-14
262686085.98079,0,0,2016-08-13
265025210.300081,0,0,2016-08-12
264223065.238187,0,0,2016-08-11
262506607.742151,0,0,2016-08-10
250632552.678875,0,0,2016-08-09
250562518.80171,0,0,2016-08-08
240415541.779188,0,0,2016-08-07
230113412.162793,0,0,2016-08-06
225934400.60224,0,0,2016-08-05
227976456.681598,0,0,2016-08-04
232973157.244085,0,0,2016-08-03
220001503.216677,0,0,2016-08-02
206346108.992953,0,0,2016-08-01
192752343.33979,0,0,2016-07-31
180548743.934926,0,0,2016-07-30
189592431.282123,0,0,2016-07-29
205709092.74807,0,0,2016-07-28
165406402.634989,0,0,2016-07-27
137885845.227155,0,0,2016-07-26
142945987.623916,0,0,2016-07-25
147890993.143044,30429645.3977349,5071607.56628915,2016-07-24
129019182.157698,140742355.680485,17572903.9169647,2016-07-23
117553199.539821,280761046.524033,22692531.4117133,2016-07-22
101202134.484015,362649749.199831,20197068.1544154,2016-07-21
100639475.755641,377994803.46823,20718270.7781917,2016-07-20
100999714.017216,377994803.46823,20557306.41599,2016-07-19
87319200.0975734,377994803.46823,17386658.9115844,2016-07-18
88587555.5095222,377994803.46823,17262995.4521652,2016-07-17
105694158.65552,377994803.46823,26390048.2479204,2016-07-16
110881627.698506,377994803.46823,23616695.1900293,2016-07-15
91808054.0219048,377994803.46823,16424024.2317799,2016-07-14
89490689.5398544,377994803.46823,20521070.4477776,2016-07-13
93668677.0456235,377994803.46823,18753094.4932552,2016-07-12
80473243.3364338,314599708.889616,9541758.7206501,2016-07-11
69636954.622228,314599708.889616,12276115.1527653,2016-07-10
72980111.5338222,314599708.889616,12431500.5255666,2016-07-09
67033647.5237192,314599708.889616,11002270.4680928,2016-07-08
60422555.4198309,314599708.889616,12405806.5497869,2016-07-07
56477811.5665787,314599708.889616,12322080.216171,2016-07-06
55257416.6344098,314599708.889616,12833359.4342397,2016-07-05
54096334.9232143,314599708.889616,12923058.1872285,2016-07-04
58331062.5215865,314599708.889616,12401855.5634522,2016-07-03
56007022.7171059,314599708.889616,12401855.5634522,2016-07-02
58012547.9463749,314599708.889616,12401855.5634522,2016-07-01
57746644.1641439,314599708.889616,10544367.8951982,2016-06-30
54995747.5944821,314599708.889616,12693811.7971673,2016-06-29
55974478.30446,314599708.889616,10020782.9043034,2016-06-28
50887449.6063903,314599708.889616,10357679.6687593,2016-06-27
56726139.5101698,314599708.889616,10357679.6687593,2016-06-26
53399502.470697,314599708.889616,9566846.41243106,2016-06-25
50072865.4312241,314599708.889616,9566846.41243106,2016-06-24
50072865.4312241,314599708.889616,9566846.41243106,2016-06-23
49305037.602602,314599708.889616,8799018.58380893,2016-06-22
47489872.5620946,314599708.889616,8799018.58380893,2016-06-21
47034894.0731072,314599708.889616,8799018.58380893,2016-06-20
47812431.8585382,314599708.889616,9373868.32067524,2016-06-19
48919081.4190904,314599708.889616,8606040.49205312,2016-06-18
48772874.1267109,314599708.889616,9227661.02829581,2016-06-17
52131725.7209048,314599708.889616,9429088.30310246,2016-06-16
51565325.1670894,314599708.889616,8661260.47448033,2016-06-15
45257062.1535774,314599708.889616,8661260.47448033,2016-06-14
43978338.1083148,314599708.889616,7382536.42921774,2016-06-13
42538649.7008504,314599708.889616,7221572.067016,2016-06-12
38555922.8402551,314599708.889616,6150706.13828427,2016-06-11
39509410.8980184,314599708.889616,5424163.55511744,2016-06-10
36031971.7451897,314599708.889616,5424163.55511744,2016-06-09
41007455.2281921,314599708.889616,6146434.76758533,2016-06-08
43232042.1415327,314599708.889616,6146434.76758533,2016-06-07
40227410.7397873,314599708.889616,6146434.76758533,2016-06-06
45033358.0524267,314599708.889616,6914262.59620746,2016-06-05
46535673.7532994,314599708.889616,6146434.76758533,2016-06-04
42497554.2692821,314599708.889616,6914262.59620746,2016-06-03
47326507.0096276,314599708.889616,7705095.85253573,2016-06-02
45824191.308755,314599708.889616,6146434.76758533,2016-06-01
40227410.7397873,314599708.889616,6146434.76758533,2016-05-31
42497554.2692821,314599708.889616,6914262.59620746,2016-05-30
48612454.1174945,314599708.889616,10234206.0726995,2016-05-29
53950082.0978864,314599708.889616,7705095.85253573,2016-05-28
48094334.8382498,314599708.889616,6914262.59620746,2016-05-27
44767697.7987769,314599708.889616,6914262.59620746,2016-05-26
43265382.0979043,314599708.889616,6914262.59620746,2016-05-25
