"opti_hab","therm_hab","opti_therm_hab","DateTime"
1623923855.5048,0,0,1980-04-02
1640268586.75057,0,0,1980-04-03
1126577894.40028,0,0,1980-04-04
1110883687.3166,0,0,1980-04-05
1052392725.0067,0,0,1980-04-06
1122189433.45202,0,0,1980-04-07
1170158825.64519,0,0,1980-04-08
1402745333.96215,0,0,1980-04-09
2029187156.90168,0,0,1980-04-10
1841484959.52026,0,0,1980-04-11
1361571769.01064,0,0,1980-04-12
1152122989.50846,0,0,1980-04-13
1334833242.2442,0,0,1980-04-14
1266732879.41568,0,0,1980-04-15
1059679022.10942,0,0,1980-04-16
1168860841.20116,0,0,1980-04-17
1178437902.504,0,0,1980-04-18
1078258720.69309,0,0,1980-04-19
1098246385.00251,0,0,1980-04-20
1104561030.56561,397370645.12956,827855.510686582,1980-04-21
1092929149.6627,397370645.12956,1103807.34758211,1980-04-22
1089397115.90183,0,0,1980-04-23
1099215101.68099,0,0,1980-04-24
1105420446.02251,0,0,1980-04-25
1443623199.52368,0,0,1980-04-26
1841108163.73674,0,0,1980-04-27
1262386361.54505,0,0,1980-04-28
1102704988.07908,0,0,1980-04-29
1127601231.53227,838978431.07213,2476244.5832027,1980-04-30
1182729046.2131,2115317160.60105,10744500.0822471,1980-05-01
1167560470.68456,3475225962.84634,28469754.484888,1980-05-02
1135765912.53184,4502562465.80691,46276456.2860471,1980-05-03
1145554614.50589,8164405093.50314,116204711.048135,1980-05-04
1154446932.24921,30792953304.2631,1154446932.24921,1980-05-05
1164533622.278,397370645.12956,827855.510686582,1980-05-06
1217648356.70829,0,0,1980-05-07
1612706891.07787,0,0,1980-05-08
2097842281.76853,0,0,1980-05-09
1527010284.19041,0,0,1980-05-10
1694386655.37076,0,0,1980-05-11
1658556127.81822,0,0,1980-05-12
1263166115.54713,0,0,1980-05-13
1500818676.22503,629099955.548769,2345297.97789101,1980-05-14
2031632300.8971,629099955.548769,3816846.01751984,1980-05-15
1472666265.89486,30792953304.2631,1472666265.89486,1980-05-16
1282774167.668,1046221319.76023,3629424.23343887,1980-05-17
1713970011.08278,6271642817.502,105103218.733056,1980-05-18
1632346387.04937,30792953304.2631,1632346387.04937,1980-05-19
1261921274.65185,30792953304.2631,1261921274.65185,1980-05-20
1259763536.18055,30792953304.2631,1259763536.18055,1980-05-21
1255282685.32525,30792953304.2631,1255282685.32525,1980-05-22
1264629537.31463,30792953304.2631,1264629537.31463,1980-05-23
1278867283.73165,30792953304.2631,1278867283.73165,1980-05-24
1287372253.28816,30792953304.2631,1287372253.28816,1980-05-25
1327606060.60012,30792953304.2631,1327606060.60012,1980-05-26
1360539146.82382,30792953304.2631,1360539146.82382,1980-05-27
1336140635.43797,30792953304.2631,1336140635.43797,1980-05-28
1356328411.362,30792953304.2631,1356328411.362,1980-05-29
1452402412.00463,30792953304.2631,1452402412.00463,1980-05-30
1700367879.81829,30792953304.2631,1700367879.81829,1980-05-31
